"Trial" "syllable" "Onset" "block_num" "Place" "voice" "filename" "bin" "place" "voicing" "manner" "rplace" "rvoicing" "rmanner" "rLab" "rAlv" "rDent" "rPal" "rVel" "rFric" "rStop" "rNasal" "rVcd" "rVls" "rvoice" "sylltrans" "voicetrans" "MillSim"
46 "sha" 87698 7 "palato-alveolar" "2" "sha.2.2.mp3" "sha_v2_b2" "Pal" "Vls" "Fric" "diffcat" "repcat" "repcat" "null" "null" "null" "null" "null" "repFric" "null" "null" "null" "repVls" "diffVoice" "sha-sa" "4-2" 0.113246765824953
47 "null" 89206 7 "null" "null" "null" "None" "none" "none" "none" "diffcat" "diffcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "null" "null" NA
48 "ka" 93202 7 "velar" "4" "ka.3.4.mp3" "ka_v4_b3" "Vel" "Vls" "Stop" "none" "none" "none" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "null-ka" "null-4" NA
49 "sa" 94695 7 "alveolar" "1" "sa.2.1.mp3" "sa_v1_b3" "Alv" "Vls" "Fric" "diffcat" "repcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "repVls" "diffVoice" "ka-sa" "1-4" 0.0628311471416047
50 "na" 96203 7 "alveolar" "2" "na.3.2.mp3" "na_v2_b3" "Alv" "Vcd" "Nas" "repcat" "diffcat" "diffcat" "null" "repAlv" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "na-sa" "1-2" 0.0139257103845774
51 "ga" 97695 7 "velar" "3" "ga.2.3.mp3" "ga_v3_b3" "Vel" "Vcd" "Stop" "diffcat" "repcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "repVcd" "null" "diffVoice" "na-ga" "3-2" 0.0301743677158778
52 "sha" 99203 7 "palato-alveolar" "3" "sha.1.3.mp3" "sha_v3_b3" "Pal" "Vls" "Fric" "repvoice" "repvoice" "repvoice" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "repVoice" "sha-ga" "3-3" 0.0180389145793569
53 "ba" 100695 7 "labial" "2" "ba.3.2.mp3" "ba_v2_b3" "Lab" "Vcd" "Stop" "diffcat" "diffcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "ba-sha" "3-2" 0.0119045348638785
54 "na" 102204 7 "alveolar" "2" "na.1.2.mp3" "na_v2_b3" "Alv" "Vcd" "Nas" "repvoice" "repcatvoice" "repvoice" "null" "null" "null" "null" "null" "null" "null" "null" "repVcd" "null" "repVoice" "ba-na" "2-2" 0.024819469330927
55 "sha" 103696 7 "palato-alveolar" "1" "sha.3.1.mp3" "sha_v1_b3" "Pal" "Vls" "Fric" "diffcat" "diffcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "na-sha" "1-2" 0.0123102996706557
56 "na" 105205 7 "alveolar" "1" "na.2.1.mp3" "na_v1_b3" "Alv" "Vcd" "Nas" "repvoice" "repvoice" "repvoice" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "repVoice" "na-sha" "1-1" 0.0123102996706557
57 "ka" 106697 7 "velar" "3" "ka.2.3.mp3" "ka_v3_b3" "Vel" "Vls" "Stop" "diffcat" "diffcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "na-ka" "1-3" 0.0213124542766724
58 "ma" 108206 7 "labial" "1" "ma.2.1.mp3" "ma_v1_b3" "Lab" "Vcd" "Nas" "diffcat" "diffcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "ka-ma" "1-3" 0.0211926015219386
59 "ga" 109698 7 "velar" "4" "ga.1.4.mp3" "ga_v4_b3" "Vel" "Vcd" "Stop" "diffcat" "repcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "repVcd" "null" "diffVoice" "ga-ma" "1-4" 0.0288986920135984
60 "ma" 111206 7 "labial" "2" "ma.3.2.mp3" "ma_v2_b3" "Lab" "Vcd" "Nas" "diffcat" "repcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "repVcd" "null" "diffVoice" "ga-ma" "4-2" 0.0288986920135984
61 "SH_a" 112699 7 "palato-alveolar" "1" "SH_a.3.1.mp3" "SH_a_v1_b3" "Pal" "Vcd" "Fric" "diffcat" "repcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "repVcd" "null" "diffVoice" "SH_a-ma" "1-2" 0.0163702480510673
62 "ma" 114207 7 "labial" "4" "ma.3.4.mp3" "ma_v4_b3" "Lab" "Vcd" "Nas" "diffcat" "repcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "repVcd" "null" "diffVoice" "SH_a-ma" "1-4" 0.0163702480510673
63 "pa" 115699 7 "labial" "1" "pa.2.1.mp3" "pa_v1_b3" "Lab" "Vls" "Stop" "repcat" "diffcat" "diffcat" "repLab" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "pa-ma" "1-4" 0.0264609848441258
64 "za" 117208 7 "alveolar" "4" "za.2.4.mp3" "za_v4_b3" "Alv" "Vcd" "Fric" "diffcat" "diffcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "za-pa" "1-4" 0.0262303501492357
65 "tha" 118700 7 "dental" "3" "tha.1.3.mp3" "tha_v3_b3" "Dent" "Vls" "Fric" "diffcat" "diffcat" "repcat" "null" "null" "null" "null" "null" "repFric" "null" "null" "null" "null" "diffVoice" "za-tha" "4-3" 0.0321029606059229
66 "va" 120209 7 "labio-dental" "1" "va.1.1.mp3" "va_v1_b3" "Lab" "Vcd" "Fric" "diffcat" "diffcat" "repcat" "null" "null" "null" "null" "null" "repFric" "null" "null" "null" "null" "diffVoice" "va-tha" "1-3" 0.0427058614883721
67 "da" 121701 7 "alveolar" "1" "da.2.1.mp3" "da_v1_b3" "Alv" "Vcd" "Stop" "repvoice" "repcatvoice" "repvoice" "null" "null" "null" "null" "null" "null" "null" "null" "repVcd" "null" "repVoice" "va-da" "1-1" 0.0576268048212968
68 "na" 123209 7 "alveolar" "4" "na.3.4.mp3" "na_v4_b3" "Alv" "Vcd" "Nas" "repcat" "repcat" "diffcat" "null" "repAlv" "null" "null" "null" "null" "null" "null" "repVcd" "null" "diffVoice" "na-da" "1-4" 0.0303140877460462
69 "da" 124702 7 "alveolar" "4" "da.3.4.mp3" "da_v4_b3" "Alv" "Vcd" "Stop" "repcatvoice" "repcatvoice" "repvoice" "null" "repAlv" "null" "null" "null" "null" "null" "null" "repVcd" "null" "repVoice" "na-da" "4-4" 0.0303140877460462
70 "SH_a" 126210 7 "palato-alveolar" "4" "SH_a.2.4.mp3" "SH_a_v4_b3" "Pal" "Vcd" "Fric" "repvoice" "repcatvoice" "repvoice" "null" "null" "null" "null" "null" "null" "null" "null" "repVcd" "null" "repVoice" "SH_a-da" "4-4" 0.0888856874159333
71 "sa" 127702 7 "alveolar" "3" "sa.1.3.mp3" "sa_v3_b3" "Alv" "Vls" "Fric" "diffcat" "diffcat" "repcat" "null" "null" "null" "null" "null" "repFric" "null" "null" "null" "null" "diffVoice" "SH_a-sa" "4-3" 0.0223709151466559
72 "fa" 129195 7 "labio-dental" "1" "fa.2.1.mp3" "fa_v1_b3" "Lab" "Vls" "Fric" "diffcat" "repcat" "repcat" "null" "null" "null" "null" "null" "repFric" "null" "null" "null" "repVls" "diffVoice" "fa-sa" "1-3" 0.0673755969649652
73 "va" 130703 7 "labio-dental" "3" "va.3.3.mp3" "va_v3_b3" "Lab" "Vcd" "Fric" "repcat" "diffcat" "repcat" "repLab" "null" "null" "null" "null" "repFric" "null" "null" "null" "null" "diffVoice" "fa-va" "1-3" 0.0350449700943268
74 "za" 132195 7 "alveolar" "4" "za.1.4.mp3" "za_v4_b3" "Alv" "Vcd" "Fric" "diffcat" "repcat" "repcat" "null" "null" "null" "null" "null" "repFric" "null" "null" "repVcd" "null" "diffVoice" "za-va" "4-3" 0.0811683241180293
75 "sa" 133704 7 "alveolar" "2" "sa.2.2.mp3" "sa_v2_b3" "Alv" "Vls" "Fric" "repcat" "diffcat" "repcat" "null" "repAlv" "null" "null" "null" "repFric" "null" "null" "null" "null" "diffVoice" "za-sa" "4-2" 0.0344734172749872
76 "ta" 135196 7 "alveolar" "4" "ta.2.4.mp3" "ta_v4_b3" "Alv" "Vls" "Stop" "repcat" "repcat" "diffcat" "null" "repAlv" "null" "null" "null" "null" "null" "null" "null" "repVls" "diffVoice" "ta-sa" "4-2" 0.0494081258190988
77 "ta" 136705 7 "alveolar" "1" "ta.1.1.mp3" "ta_v1_b3" "Alv" "Vls" "Stop" "repsyll" "repsyll" "repsyll" "null" "repAlv" "null" "null" "null" "null" "repStop" "null" "null" "repVls" "diffVoice" "ta-ta" "1-4" NA
78 "sa" 138197 7 "alveolar" "3" "sa.3.3.mp3" "sa_v3_b3" "Alv" "Vls" "Fric" "repcat" "repcat" "diffcat" "null" "repAlv" "null" "null" "null" "null" "null" "null" "null" "repVls" "diffVoice" "ta-sa" "1-3" 0.0494081258190988
79 "da" 139705 7 "alveolar" "3" "da.2.3.mp3" "da_v3_b3" "Alv" "Vcd" "Stop" "repcatvoice" "repvoice" "repvoice" "null" "repAlv" "null" "null" "null" "null" "null" "null" "null" "null" "repVoice" "da-sa" "3-3" 0.0291248697204559
80 "za" 141197 7 "alveolar" "3" "za.3.3.mp3" "za_v3_b3" "Alv" "Vcd" "Fric" "repcatvoice" "repcatvoice" "repvoice" "null" "repAlv" "null" "null" "null" "null" "null" "null" "repVcd" "null" "repVoice" "za-da" "3-3" 0.107120141382959
81 "da" 142706 7 "alveolar" "4" "da.1.4.mp3" "da_v4_b3" "Alv" "Vcd" "Stop" "repcat" "repcat" "diffcat" "null" "repAlv" "null" "null" "null" "null" "null" "null" "repVcd" "null" "diffVoice" "za-da" "4-3" 0.107120141382959
82 "ta" 144198 7 "alveolar" "2" "ta.2.2.mp3" "ta_v2_b3" "Alv" "Vls" "Stop" "repcat" "diffcat" "repcat" "null" "repAlv" "null" "null" "null" "null" "repStop" "null" "null" "null" "diffVoice" "da-ta" "4-2" 0.0210098839279326
83 "ka" 145707 7 "velar" "2" "ka.4.2.mp3" "ka_v2_b3" "Vel" "Vls" "Stop" "repvoice" "repcatvoice" "repcatvoice" "null" "null" "null" "null" "null" "null" "repStop" "null" "null" "repVls" "repVoice" "ka-ta" "2-2" 0.235462958598024
84 "ga" 147199 7 "velar" "2" "ga.2.2.mp3" "ga_v2_b3" "Vel" "Vcd" "Stop" "repcatvoice" "repvoice" "repcatvoice" "null" "null" "null" "null" "repVel" "null" "repStop" "null" "null" "null" "repVoice" "ka-ga" "2-2" 0.0256297494333007
85 "ka" 148708 7 "velar" "3" "ka.2.3.mp3" "ka_v3_b3" "Vel" "Vls" "Stop" "repcat" "diffcat" "repcat" "null" "null" "null" "null" "repVel" "null" "repStop" "null" "null" "null" "diffVoice" "ka-ga" "3-2" 0.0256297494333007
